id,name,locality,address,contact_number,rating,reviews_count,visit_type,grooming_tables,valet_parking,starting_price_inr,popular_package,specialty,verified
113,The Pet Universe Studio,Isanpur,"Shop G-2, Galaxy Avenue, Near Isanpur Cross Road, Govindwadi, Ahmedabad, Gujarat 382443",+91 97241 18911,4.8,245,At Salon Session,3,Not Available,699,Standard Fur Maintenance,"Shed control, therapeutic warm oil wash, express blow dry",Yes
114,Aww My Dog! Grooming Studio,Panchwati,"Basement 2, Heritage Horizon, Near Panchwati Cross Road, C G Road, Ahmedabad, Gujarat 380009",+91 99099 21455,4.9,133,At Salon Session,4,Available,1100,Teddy Bear Cut Styling,"Creative trims (Poodle, Shih Tzu), nail filing, tear stain treatment",Yes
115,Woofly India Doorstep Grooming,Mobile Van Service,"Servicing Gota, Vastrapur, Satellite, and Prahladnagar Areas, Ahmedabad, Gujarat 380015",+91 88005 31100,4.6,158,Home Service / Van,2,Not Applicable,1350,In-Home Luxury Grooming,"Fully equipped grooming vehicle, strict non-sedation safety guidelines",Yes
116,Shree Sai Pets & Spa,Bapunagar,"Shop 5, Jivan Vihar Arcade, Near Shyam Shikhar Complex, Bapunagar, Ahmedabad, Gujarat 380024",+91 98244 88722,4.6,220,At Salon Session,2,Not Available,650,Essential Cleanse Package,"Deep dirt removal, dry styling, basic grooming for native breeds",No
117,Punjab Pets Grooming,Chandkheda,"Shop 3, Satyamev Royal, Near Zundal Circle, Chandkheda, Ahmedabad, Gujarat 382424",+91 99130 45450,4.1,194,At Salon Session,3,Not Available,700,Flea Shield Styling,"Medicated flea dips, clean body trims, post-bath blowouts",Yes
118,Buddy's Pet Shop & Grooming,Vastral,"G-10, Shiv Ashish Complex, Opposite Nirant Cross Road, Vastral, Ahmedabad, Gujarat 382418",+91 97235 66781,4.9,69,At Salon Session,2,Not Available,800,Puppy's First Grooming Spa,"Sensory grooming introduction for puppies, soft-bristle brushing",Yes
119,Le Chine Pet Boutique,New CG Road,"A-4, Shrinand Nagar, Opposite Avlon Hotel, New C G Road, Chandkheda, Ahmedabad, 382424",+91 79471 28933,4.7,99,At Salon Session,3,Not Available,900,Perfumed Whitening Spa,"Stain removal washes, aromatic finishing spray, conditioning coats",Yes
120,Gaudrin Of Woof,Ranip,"Block D, Madhav Residency, Near Nirnay Nagar Road, Ranip, Ahmedabad, Gujarat 382480",+91 93761 44521,4.3,88,At Salon & Home Service,2,Not Available,850,Full Body Trim Routine,"Cat and rabbit safe clipping, dematting combs, nail filing treatments",No
121,Pups And Paws Salon,Ambawadi,"Shop 2, Choice Lane, Near Azad Society Cross Road, Ambawadi, Ahmedabad, Gujarat 380015",+91 98980 99412,4.8,112,At Salon Session,4,Available,1150,Royal Comfort De-shed Spa,"Undercoat removal, high-velocity blow dry, moisturizing paw treatments",Yes
122,Black Angel Pet Care,Gota Road,"A-204, Royal Residency, Vandematram Avenue, Gota Road, Ahmedabad, Gujarat 382481",+91 79470 71925,4.5,64,Home Service Session,1,Not Applicable,1200,Doorstep Herbal Cleansing,"Neem oil infusions, gentle eye and ear irrigation, sanitary hair cuts",Yes
123,Happy Tails Pet Spa,Chandkheda Outlet,"Shop 8, Shrinath Complex, Near Podar International School, Chandkheda, Ahmedabad, 382424",+91 94291 33410,4.1,152,At Salon Session,3,Not Available,750,Classic Bath & Blow Dry,"Tangle-free combing, hypoallergenic soap formulas, general grooming",Yes
124,The Dog Land,Tragad,"Shop 14, Apple Square, Tragad Road, Near Chandkheda Boundary, Ahmedabad, Gujarat 382470",+91 91062 88411,4.7,85,At Salon Session,3,Not Available,900,Signature Trim & Styling,"Exotic breed styling, scissor work experts, deep coat conditioning",Yes
125,Pet Paws Studio,Vaishno Devi Circle,"Ground Floor, Milestone Building, Near Vaishno Devi Temple Road, Ahmedabad, Gujarat 382421",+91 79471 55621,4.3,131,At Salon Session,3,Not Available,850,Clean & Protected Bath,"Anti-itch shampooing, ear canal cleaning, protective spray finish",Yes
